Name,html_code,rgb_code,shades,r,g,b
lightsalmon,#FFA07A,rgb(255 160 122),Red,255,160,122
salmon,#FA8072,rgb(250 128 114),Red,250,128,114
darksalmon,#E9967A,rgb(233 150 122),Red,233,150,122
lightcoral,#F08080,rgb(240 128 128),Red,240,128,128
indianred,#CD5C5C,rgb(205 92 92),Red,205,92,92
crimson,#DC143C,rgb(220 20 60),Red,220,20,60
firebrick,#B22222,rgb(178 34 34),Red,178,34,34
red,#FF0000,rgb(255 0 0),Red,255,0,0
darkred,#8B0000,rgb(139 0 0),Red,139,0,0
coral,#FF7F50,rgb(255 127 80),Orange,255,127,80
tomato,#FF6347,rgb(255 99 71),Orange,255,99,71
orangered,#FF4500,rgb(255 69 0),Orange,255,69,0
gold,#FFD700,rgb(255 215 0),Orange,255,215,0
orange,#FFA500,rgb(255 165 0),Orange,255,165,0
darkorange,#FF8C00,rgb(255 140 0),Orange,255,140,0
lightyellow,#FFFFE0,rgb(255 255 224),Yellow,255,255,224
lemonchiffon,#FFFACD,rgb(255 250 205),Yellow,255,250,205
papayawhip,#FFEFD5,rgb(255 239 213),Yellow,255,239,213
moccasin,#FFE4B5,rgb(255 228 181),Yellow,255,228,181
peachpuff,#FFDAB9,rgb(255 218 185),Yellow,255,218,185
palegoldenrod,#EEE8AA,rgb(238 232 170),Yellow,238,232,170
khaki,#F0E68C,rgb(240 230 140),Yellow,240,230,140
darkkhaki,#BDB76B,rgb(189 183 107),Yellow,189,183,107
yellow,#FFFF00,rgb(255 255 0),Yellow,255,255,0
lawngreen,#7CFC00,rgb(124 252 0),Green,124,252,0
limegreen,#32CD32,rgb(50 205 50),Green,50,205,50
lime,#00FF00,rgb(0 255 0),Green,0,255,0
forestgreen,#228B22,rgb(34 139 34),Green,34,139,34
darkgreen,#006400,rgb(0 100 0),Green,0,100,0
springgreen,#00FF7F,rgb(0 255 127),Green,0,255,127
mediumspringgreen,#00FA9A,rgb(0 250 154),Green,0,250,154
palegreen,#98FB98,rgb(152 251 152),Green,152,251,152
seagreen,#2E8B57,rgb(46 139 87),Green,46,139,87
powderblue,#B0E0E6,rgb(176 224 230),Blue,176,224,230
lightskyblue,#87CEFA,rgb(135 206 250),Blue,135,206,250
skyblue,#87CEEB,rgb(135 206 235),Blue,135,206,235
deepskyblue,#00BFFF,rgb(0 191 255),Blue,0,191,255
dodgerblue,#1E90FF,rgb(30 144 255),Blue,30,144,255
cornflowerblue,#6495ED,rgb(100 149 237),Blue,100,149,237
steelblue,#4682B4,rgb(70 130 180),Blue,70,130,180
royalblue,#4169E1,rgb(65 105 225),Blue,65,105,225
mediumblue,#0000CD,rgb(0 0 205),Blue,0,0,205
snow,#FFFAFA,rgb(255 250 250),White,255,250,250
honeydew,#F0FFF0,rgb(240 255 240),White,240,255,240
azure,#F0FFFF,rgb(240 255 255),White,240,255,255
ghostwhite,#F8F8FF,rgb(248 248 255),White,248,248,255
whitesmoke,#F5F5F5,rgb(245 245 245),White,245,245,245
mintcream,#F5FFFA,rgb(245 255 250),White,245,255,250
ivory,#FFFFF0,rgb(255 255 240),White,255,255,240
floralwhite,#FFFAF0,rgb(255 250 240),White,255,250,240
antiquewhite,#FAEBD7,rgb(250 235 215),White,250,235,215
blanchedalmond,#FFEBCD,rgb(255 235 205),Brown,255,235,205
bisque,#FFE4C4,rgb(255 228 196),Brown,255,228,196
wheat,#F5DEB3,rgb(245 222 179),Brown,245,222,179
burlywood,#DEB887,rgb(222 184 135),Brown,222,184,135
tan,#D2B48C,rgb(210 180 140),Brown,210,180,140
rosybrown,#BC8F8F,rgb(188 143 143),Brown,188,143,143
sandybrown,#F4A460,rgb(244 164 96),Brown,244,164,96
chocolate,#D2691E,rgb(210 105 30),Brown,210,105,30
saddlebrown,#8B4513,rgb(139 69 19),Brown,139,69,19
sienna,#A0522D,rgb(160 82 45),Brown,160,82,45
brown,#A52A2A,rgb(165 42 42),Brown,165,42,42
